tic_id,toi,disposition,epoch_bjd,period/days,duration/hours,depth,planet_radius,stellar_radius,stteff,logg,tess_mag,prob_planet,rank
127426341,7414.01,PC,2460601.373333,7.899462,1.721,8727.0,11.0515,1.17,5461.1,4.28,12.3016,0.6557622890259672,2085
469008497,6506.01,PC,2460015.235883,13.0795854,4.918,12002.0,9.66071,0.92,5555.0,4.5,13.0582,0.6557204072130675,2086
144006874,6058.01,PC,2460660.38401,2.3673691,1.474,592.0,3.89751,0.71,4403.0,4.58,9.5951,0.6552965802312104,2087
328502522,6457.01,PC,2460280.041806,41.4186335,8.1171335,5598.932235,10.7342874,1.4143,6080.7,4.19,10.4475,0.654911637407731,2088
387844266,5852.01,PC,2459788.337798,3.9956793,2.056,38380.0,13.077,0.67,4348.0,4.62,13.4781,0.6542450936885774,2089
85292615,5721.01,PC,2458888.709894,729.4823472,6.9397715,819.483247,3.330945,1.00725,5881.4,4.45955,9.92937,0.6541134960774547,2090
235684964,5666.01,PC,2459827.478708,5.468394,2.809,11340.0,16.445,1.51,5526.0,4.06,13.0994,0.6539532419407282,2091
161299119,3444.01,PC,2459384.53548,2.7188122,2.182,12150.0,16.9807,1.48,6531.0,4.23,11.9642,0.6539289389348966,2092
457337619,6541.01,PC,2460065.150815,5.8991458,4.815,275.0,1.10037,0.76,5419.4,4.65,9.1069,0.6537888292578607,2093
125520907,6019.01,PC,2460589.743637,14.5478626,5.4881637,3222.8170072,12.189719,1.9794101,5559.5,3.84,10.0651,0.6525165002654545,2094
58858008,6842.01,PC,2460209.338746,5.3920955,4.2434029,15466.3588483,18.2452387,1.41933,5752.18,4.14674,11.5955,0.6521727289033525,2095
327579226,1532.01,PC,2460446.002489,8.905407,2.71,6702.0,12.3602,1.41,6659.0,4.29,10.1786,0.651457515767988,2096
157655504,2859.01,PC,2459253.079498,3.9589903,3.5,13190.0,20.2505,1.73,6551.0,4.1,12.9395,0.6514325006067047,2097
141141249,2911.01,PC,2459963.857775,1.7701321,1.6631328,49803.4082445,10.9547,0.77,4430.1,4.33,13.381,0.6509180484204612,2098
336399144,3946.01,PC,2458972.76106,5.7033411,3.039,14730.0,15.2151,1.24,5933.0,4.28,12.475,0.6508779234515918,2099
293407882,5304.01,PC,2459493.482802,3.7079439,2.259,7740.0,8.08217,0.89,5265.0,4.5,13.3526,0.6508483566299542,2100
149302744,699.03,PC,2458374.209051,672.6366236,7.4883769,423.1260918,2.9749826,1.41864,6138.6,4.07,9.8106,0.6495093545595948,2101
425934411,142.01,PC,2458325.485901,0.8533534,1.2018737,25080.3290695,12.600718,0.608076,3658.0,4.438,14.7109,0.6487962154455668,2102
445370101,6306.01,PC,2459902.833152,3.662222,4.253,4017.0,13.3765,2.08,5826.0,3.82,12.3693,0.6482295757655754,2103
384984325,6109.02,PC,2459900.819501,5.6952223,1.107,1470.0,3.92346,0.95,5416.1,4.49,10.3622,0.647674572701008,2104
